,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
3160,Dāvis Bertāns,Dallas Mavericks,17:26,1,7,0.143,1,7,0.143,0,0,0.0,0,2,2,1,0,0,0,2,3,-2,17:26,0.214,0.214,1.0,0.0,0.0,11.5,6.4,6.7,0.0,0.0,0.0,19.1,58.0,128.0,20220217
3161,Sterling Brown,Dallas Mavericks,4:19,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,2,4:19,0.0,0.0,0.0,0.0,0.0,23.2,12.9,0.0,0.0,0.0,0.0,0.0,0.0,123.0,20220217
3162,Trey Burke,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220217
3163,Boban Marjanović,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220217
3164,Frank Ntilikina,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220217
3165,Team Totals,Dallas Mavericks,240,44,82,0.537,19,40,0.475,18,25,0.72,7,31,38,18,5,4,8,22,125,0,240,0.672,0.652,0.488,0.305,18.4,64.6,44.2,40.9,5.3,6.3,7.9,100.0,132.6,125.2,20220217
3166,Jalen Brunson,Dallas Mavericks,35:39,4,11,0.364,0,1,0.0,0,0,0.0,0,2,2,2,1,0,2,4,8,5,35:39,0.364,0.364,0.091,0.0,0.0,8.7,3.6,7.4,1.5,0.0,15.4,17.1,71.0,128.0,20220225
3167,Luka Dončić,Dallas Mavericks,35:08,8,24,0.333,3,9,0.333,4,4,1.0,2,5,7,11,1,0,4,5,23,-16,35:08,0.446,0.396,0.375,0.167,6.4,22.0,12.9,48.4,1.5,0.0,13.4,39.7,103.0,125.0,20220225
3168,Reggie Bullock,Dallas Mavericks,34:02,3,8,0.375,3,7,0.429,0,0,0.0,0,0,0,2,2,0,1,1,9,-13,34:02,0.563,0.563,0.875,0.0,0.0,0.0,0.0,7.5,3.1,0.0,11.1,12.4,107.0,126.0,20220225
3169,Dorian Finney-Smith,Dallas Mavericks,27:55,3,5,0.6,1,3,0.333,0,0,0.0,1,3,4,1,0,0,1,4,7,-20,27:55,0.7,0.7,0.6,0.0,4.0,16.6,9.3,4.7,0.0,0.0,16.7,10.1,123.0,130.0,20220225
