,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
3440,Matisse Thybulle,Philadelphia 76ers,35:33,3,4,0.75,1,2,0.5,0,0,0.0,0,3,3,1,1,2,0,4,7,-4,35:33,0.875,0.875,0.5,0.0,0.0,8.6,4.8,3.2,1.4,5.5,0.0,5.0,177.0,112.0,20220410
3441,Tobias Harris,Philadelphia 76ers,23:54,3,10,0.3,0,0,0.0,0,0,0.0,2,3,5,6,1,0,2,4,6,0,23:54,0.3,0.3,0.0,0.0,10.9,12.8,12.0,30.1,2.1,0.0,16.7,22.3,86.0,111.0,20220410
3442,Tyrese Maxey,Philadelphia 76ers,23:22,9,15,0.6,0,4,0.0,7,7,1.0,0,2,2,3,0,0,2,2,25,-12,23:22,0.691,0.6,0.267,0.467,0.0,8.7,4.9,22.4,0.0,0.0,10.0,38.2,132.0,118.0,20220410
3443,DeAndre Jordan,Philadelphia 76ers,23:09,4,6,0.667,0,0,0.0,0,2,0.0,3,8,11,1,0,1,0,3,8,-14,23:09,0.581,0.667,0.0,0.333,16.8,35.3,27.2,5.5,0.0,4.2,0.0,13.2,136.0,106.0,20220410
3444,Danny Green,Philadelphia 76ers,19:33,0,2,0.0,0,2,0.0,0,0,0.0,0,4,4,2,3,0,2,2,0,-9,19:33,0.0,0.0,1.0,0.0,0.0,20.9,11.7,10.7,7.6,0.0,50.0,9.1,28.0,97.0,20220410
3445,Shake Milton,Philadelphia 76ers,32:55,11,18,0.611,1,3,0.333,7,7,1.0,2,2,4,4,2,1,0,1,30,24,32:55,0.712,0.639,0.167,0.389,7.9,6.2,6.9,19.5,3.0,3.0,0.0,28.4,157.0,111.0,20220410
3446,Furkan Korkmaz,Philadelphia 76ers,32:15,2,10,0.2,1,7,0.143,4,4,1.0,1,2,3,4,0,1,1,0,9,24,32:15,0.383,0.25,0.7,0.4,4.0,6.3,5.3,13.8,0.0,3.0,7.8,17.6,98.0,118.0,20220410
3447,Isaiah Joe,Philadelphia 76ers,28:27,2,9,0.222,2,7,0.286,2,2,1.0,0,4,4,2,2,0,3,2,8,21,28:27,0.405,0.333,0.778,0.222,0.0,14.4,8.0,7.9,3.5,0.0,23.3,20.1,74.0,108.0,20220410
3448,Paul Reed,Philadelphia 76ers,20:52,12,14,0.857,0,0,0.0,1,1,1.0,2,4,6,2,4,1,0,5,25,30,20:52,0.866,0.857,0.0,0.071,12.4,19.6,16.4,25.0,9.5,4.7,0.0,30.7,176.0,90.0,20220410
3449,Charles Bassey,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220410
